,Alpha-Beta,MAST,MC-GRAVE,Progressive History,UCT,Random,Portfolio,Ensemble,Weighted Ensemble,Weigted Ensemble (P),Ensemble (P)
Alpha-Beta,N/A,"T: -3.177
P: 0.001","T: -3.079
P: 0.002","T: -6.988
P: 0.000","T: T: -2.552
P: > 0.004","T: 32.132
P: 0.000","T: -12.710
P: 0.000","T: T: -1.117
P: > 0.010","T: -4.494
P: 0.000","T: -16.441
P: 0.000","T: -13.549
P: 0.000"
MAST,"T: 3.177
P: 0.001",N/A,"T: T: 0.106
P: > 0.050","T: -3.778
P: 0.000","T: T: 0.626
P: > 0.017","T: 35.667
P: 0.000","T: -9.415
P: 0.000","T: T: 2.055
P: > 0.005","T: T: -1.309
P: > 0.008","T: -13.077
P: 0.000","T: -10.238
P: 0.000"
MC-GRAVE,"T: 3.079
P: 0.002","T: T: -0.106
P: > 0.050",N/A,"T: -3.895
P: 0.000","T: T: 0.521
P: > 0.025","T: 35.687
P: 0.000","T: -9.548
P: 0.000","T: T: 1.954
P: > 0.005","T: T: -1.419
P: > 0.007","T: -13.223
P: 0.000","T: -10.374
P: 0.000"
Progressive History,"T: 6.988
P: 0.000","T: 3.778
P: 0.000","T: 3.895
P: 0.000",N/A,"T: 4.411
P: 0.000","T: 40.435
P: 0.000","T: -5.597
P: 0.000","T: 5.847
P: 0.000","T: T: 2.465
P: > 0.004","T: -9.220
P: 0.000","T: -6.411
P: 0.000"
UCT,"T: T: 2.552
P: > 0.004","T: T: -0.626
P: > 0.017","T: T: -0.521
P: > 0.025","T: -4.411
P: 0.000",N/A,"T: 34.982
P: 0.000","T: -10.065
P: 0.000","T: T: 1.430
P: > 0.006","T: T: -1.936
P: > 0.006","T: -13.741
P: 0.000","T: -10.891
P: 0.000"
Random,"T: -32.132
P: 0.000","T: -35.667
P: 0.000","T: -35.687
P: 0.000","T: -40.435
P: 0.000","T: -34.982
P: 0.000",N/A,"T: -48.224
P: 0.000","T: -33.287
P: 0.000","T: -37.261
P: 0.000","T: -53.580
P: 0.000","T: -49.414
P: 0.000"
Portfolio,"T: 12.710
P: 0.000","T: 9.415
P: 0.000","T: 9.548
P: 0.000","T: 5.597
P: 0.000","T: 10.065
P: 0.000","T: 48.224
P: 0.000",N/A,"T: 11.528
P: 0.000","T: 8.082
P: 0.000","T: -3.606
P: 0.000","T: T: -0.811
P: > 0.013"
Ensemble,"T: T: 1.117
P: > 0.010","T: T: -2.055
P: > 0.005","T: T: -1.954
P: > 0.005","T: -5.847
P: 0.000","T: T: -1.430
P: > 0.006","T: 33.287
P: 0.000","T: -11.528
P: 0.000",N/A,"T: -3.366
P: 0.001","T: -15.228
P: 0.000","T: -12.359
P: 0.000"
Weighted Ensemble,"T: 4.494
P: 0.000","T: T: 1.309
P: > 0.008","T: T: 1.419
P: > 0.007","T: T: -2.465
P: > 0.004","T: T: 1.936
P: > 0.006","T: 37.261
P: 0.000","T: -8.082
P: 0.000","T: 3.366
P: 0.001",N/A,"T: -11.727
P: 0.000","T: -8.901
P: 0.000"
Weigted Ensemble (P),"T: 16.441
P: 0.000","T: 13.077
P: 0.000","T: 13.223
P: 0.000","T: 9.220
P: 0.000","T: 13.741
P: 0.000","T: 53.580
P: 0.000","T: 3.606
P: 0.000","T: 15.228
P: 0.000","T: 11.727
P: 0.000",N/A,"T: T: 2.794
P: > 0.004"
Ensemble (P),"T: 13.549
P: 0.000","T: 10.238
P: 0.000","T: 10.374
P: 0.000","T: 6.411
P: 0.000","T: 10.891
P: 0.000","T: 49.414
P: 0.000","T: T: 0.811
P: > 0.013","T: 12.359
P: 0.000","T: 8.901
P: 0.000","T: T: -2.794
P: > 0.004",N/A
