GameName,Random,Flat MC,UCT,UCT (Uncapped),MC-GRAVE,Alpha-Beta,Progressive History,MAST,Biased MCTS,MCTS (Biased Selection),BRS+
Adugo,18,18,55.5,18,42,68.5,57.5,58.5,18,18,18
Asalto,40,40,40,40,40,100,40,40,40,40,40
Bagh Bandi,9,9,47,9,48,99,48,49,9,9,9
Bagh Batti,30.5,30.5,44,30.5,49.5,81.5,52,42.5,30.5,30.5,30.5
Bagh Guti,20,20,47.5,20,51.5,85.5,50.5,45,20,20,20
Bagha Guti,9.5,9.5,40.5,9.5,44.5,93.5,67,45,9.5,9.5,9.5
Baghchal,10.5,10.5,47.5,10.5,54.5,98.5,50,39,10.5,10.5,10.5
Bam Blang Beh Khla,9.5,9.5,71,9.5,23.5,75.5,56.5,64,9.5,9.5,9.5
Bouge Shodra,6.5,6.5,42.5,6.5,48,99.5,47.5,56,6.5,6.5,6.5
Cercar La Liebre,36,36,49,36,47,75,46,47,36,36,36
Coyote,26,26,42.5,26,44,98.5,43,46,26,26,26
Demala Diviyan Keliya,23.5,23.5,44,23.5,46,100,45,41.5,23.5,23.5,23.5
Diviyan Keliya,21.5,21.5,49,21.5,54,79.5,49.5,46.5,21.5,21.5,21.5
Fox and Geese,19,19,48,19,44,81,69,39,19,19,19
Gasetavl Gedved,35.5,35.5,52.5,35.5,51.5,57.5,55.5,47.5,35.5,35.5,35.5
Gasetavl,45.5,45.5,47.5,45.5,47.5,59.5,50,50,45.5,45.5,45.5
Gioco dellOrso,38,38,54.5,38,52,54,52,49.5,38,38,38
Go with the Floe,50,50,50,50,50,50,50,50,50,50,50
Hat Diviyan Keliya,3,3,59,3,58,60,60,60,3,3,3
Huli-Mane Ata,0,0,59.5,0,58.5,67.5,64.5,50,0,0,0
Hund efter Hare Thy,31,31,53,31,51.5,60,53.5,51,31,31,31
Hund efter Hare Vendsyssel,25.5,25.5,54.5,25.5,40,71,53,56,25.5,25.5,25.5
Jeu de Renard Two Foxes,25,25,54,25,48,73,53,47,25,25,25
Jeu de Renard,34,34,49,34,45,75,48.5,48.5,34,34,34
Jeu du Renard et de la Poule,38,38,50,38,50,66,50,46,38,38,38
Juroku Musashi,0.9999999999999998,0.9999999999999998,57.5,0.9999999999999998,47,79.5,67.5,47.5,0.9999999999999998,0.9999999999999998,0.9999999999999998
Kaooa,1,1,60,1,60,60,59,60,1,1,1
Ko-app-paw-na,40.5,40.5,41.5,40.5,39.5,97,40,41.5,40.5,40.5,40.5
Komikan,45,45,50,45,50.5,50,52,52.5,45,45,45
Koti Keliya,27,27,55,27,52,57,55,54,27,27,27
Kulaochal,2.5,2.5,60,2.5,54.5,61,61,61,2.5,2.5,2.5
Len Cua Kin Ngoa,6,6,61,6,55,64,61,53,6,6,6
Main Tapak Empat,0,0,61,0,59,60,60,60,0,0,0
Manu,19.5,19.5,46,19.5,42.5,83,68,41,19.5,19.5,19.5
Mao Naga Tiger Game,23,23,47.5,23,49.5,86.5,47.5,46,23,23,23
Merimueng-rimueng-do,33.5,33.5,39.5,33.5,44.5,95.5,42,45,33.5,33.5,33.5
Merimueng-rimueng,27.5,27.5,50,27.5,52,73,50,47.5,27.5,27.5,27.5
Musinaykahwhanmetowaywin,19.5,19.5,59.5,19.5,41,77,66,37,19.5,19.5,19.5
Mysore Tiger Game Three Tigers,7.5,7.5,50,7.5,52,96,48.5,46,7.5,7.5,7.5
Mysore Tiger Game Two Tigers,22,22,49.5,22,54,79.5,51,44,22,22,22
Mysore Tiger Game,3.5,3.5,69,3.5,41,62.5,55,69,3.5,3.5,3.5
Neg Tugal Tuux,24,24,55,24,61,70,51.5,38.5,24,24,24
Nuktagaq,22,22,46.5,22,48,95,45,43.5,22,22,22
Orissa Tiger Game Four Tigers,9.5,9.5,47,9.5,55,100,49.5,39,9.5,9.5,9.5
Orissa Tiger Game One Tiger,20,20,57,20,36.5,74.5,56,56,20,20,20
Pon Chochotl,32,32,48,32,49,75,46,50,32,32,32
Pulijudamu,22.5,22.5,48.5,22.5,43.5,67,61.5,57,22.5,22.5,22.5
Refskak,30,30,46.5,30,44.5,95.5,42,41.5,30,30,30
Renard et les Poules,0,0,43,0,49.5,76.5,50,81,0,0,0
Rimau-Rimau One Tiger,3.5,3.5,54.5,3.5,48,80,57,57,3.5,3.5,3.5
Rimau-Rimau Two Tigers,15.5,15.5,45.5,15.5,47,94.5,47,50.5,15.5,15.5,15.5
Rimoe,17.5,17.5,53.5,17.5,42,79.5,54,53.5,17.5,17.5,17.5
Sher Bakar,31.5,31.5,45.5,31.5,48,83,48,44,31.5,31.5,31.5
Sher Bakr,4,4,75,4,16,69,65.5,70.5,4,4,4
Shi Liu Kan Tsiang Kun,12,12,60,12,48,61,61.5,57.5,12,12,12
Shui Yen Ho-Shang,35.5,35.5,46.5,35.5,41.5,70,51.5,55,35.5,35.5,35.5
Sumi Naga Game Hunt,10,10,47,10,52.5,98.5,48,44,10,10,10
Three Musketeers,4,4,63,4,59,82,26,66,4,4,4
Uxrijn Ever,6,6,75,6,50.5,75.5,74.5,18.5,6,6,6
Wolf and Sheep,3,3,49,3,70,86,49,43,3,3,3
Wolf und Schaaf,5,5,65,5,57,79,50,44,5,5,5
Yeung Luk Sz Kon Tseung Kwan,6,6,59,6,43.5,70.5,61,60,6,6,6
20 Squares,5,5,72,5,46,23,72,82,5,5,5
58 Holes,35,35,54,35,61,34,60,56,35,35,35
