GameName,MaterialPos,InfluencePos,MobilityAdvancedNeg,InfluenceAdvancedPos,UnthreatenedMaterialNeg,MobilityAdvancedPos,LineCompletionHeuristicNeg,NullHeuristicPos,UnthreatenedMaterialPos,LineCompletionHeuristicPos,CornerProximityNeg,MobilitySimpleNeg,CentreProximityNeg,MaterialNeg,InfluenceNeg,MobilitySimplePos,CentreProximityPos,CornerProximityPos,InfluenceAdvancedNeg,SidesProximityPos,SidesProximityNeg,RegionProximityPos,RegionProximityNeg,ScorePos,ScoreNeg,OwnRegionsCountPos,OwnRegionsCountNeg,PlayerRegionsProximityNeg,PlayerRegionsProximityPos,PlayerSiteMapCountPos,PlayerSiteMapCountNeg,ComponentValuesPos,ComponentValuesNeg
Senet,84.375,72.02380952380952,41.76470588235294,59.55882352941177,10.833333333333334,68.08823529411765,45.4,60.526315789473685,74.28571428571429,54,27.5,25.125,35.5,8.947368421052632,25,71.47727272727273,74.16666666666667,81.66666666666667,35.625,63.369565217391305,25.3125,77.25,42.625,55.78947368421053,49.78260869565217,0,0,0,0,56.75,55.357142857142854,0,0
Ludus Latrunculorum,60.875,74.86842105263158,41,77.75,0,94.125,28.333333333333332,34.20454545454545,0,43.75,40.125,32.61904761904762,49.861111111111114,28.181818181818183,39.54545454545455,89.75,42.72727272727273,59.72222222222222,34.65909090909091,60.138888888888886,27.82608695652174,0,0,0,0,0,0,0,0,0,0,0,0
XII Scripta,40.11363636363637,92.38636363636364,25.869565217391305,81.78571428571429,51.15384615384615,64.77272727272727,59.45652173913044,43.63636363636363,78.16666666666667,68.85416666666667,31.25,11.842105263157896,26.05263157894737,82.3529411764706,7.25,97.3529411764706,48,44.04761904761905,11.428571428571429,64.5,30,0,0,0,0,0,0,0,0,0,0,0,0
Mehen,66.5625,69.67391304347827,36.5,65.22727272727273,0,63.40909090909091,37.625,50.595238095238095,0,71.97368421052632,40.294117647058826,19.605263157894736,38.52272727272727,20.263157894736842,21.5625,69.64285714285714,65.25,56.630434782608695,36.44736842105263,53.45238095238095,53.5,0,0,0,0,0,0,0,0,0,0,0,0
20 Squares,35,63.75,49.04761904761905,51.578947368421055,44.75,51.05263157894737,47,45.23809523809524,42.5,54.75,18.095238095238095,34.21052631578947,55.88235294117647,63.26923076923077,37.75,63.333333333333336,63.40909090909091,68.33333333333333,45,62.708333333333336,35.625,66.66666666666667,45.416666666666664,0,0,0,0,0,0,0,0,0,0
58 Holes,41.75,44.6875,54.44444444444444,51.30434782608695,0,49.6875,58.25,55.3125,0,50,56.94444444444444,50.95238095238095,47.72727272727273,56.76470588235294,49.44444444444444,56.36363636363637,35.21739130434783,48.65384615384615,53.26086956521739,51.111111111111114,52,38.75,53.611111111111114,0,0,0,0,0,0,0,0,0,0
Adugo,60.14705882352941,63.970588235294116,36.029411764705884,61.71052631578947,27.261904761904763,59.54545454545455,48.75,58.55263157894737,58.26086956521739,54.31818181818182,27.17391304347826,31.333333333333332,42.71739130434783,28.80952380952381,35.5,69.125,65.9090909090909,64.07894736842105,47.083333333333336,61.973684210526315,53.05555555555556,0,0,0,0,0,0,0,0,0,0,0,0
Baghchal,65.83333333333333,37.36842105263158,47.916666666666664,48.69047619047619,20.217391304347824,65.13157894736842,42.27272727272727,67.3529411764706,67.875,64.67391304347827,22.738095238095237,35.25,63.75,16.75,48.29545454545455,44.3421052631579,61.09375,78.375,57.22222222222222,66.97368421052632,36.375,0,0,0,0,0,0,0,0,0,0,0,0
Diviyan Keliya,62.61904761904762,69,36.166666666666664,67.72727272727273,26.973684210526315,57.142857142857146,55,56.19565217391305,58.1578947368421,58.23529411764706,33.8235294117647,35.79545454545455,38.5,27.794117647058822,30,72.38636363636364,60.39473684210526,58.45238095238095,40.56818181818182,57.06521739130435,35.714285714285715,0,0,0,0,0,0,0,0,0,0,0,0
Wolf and Sheep,52.205882352941174,54.60526315789474,35.34090909090909,56.93181818181818,0,53.47222222222222,51.05263157894737,55.39473684210526,0,53.68421052631579,38.75,52.03125,43.026315789473685,56.125,50.104166666666664,52.61363636363637,56.25,55.27777777777778,37.083333333333336,42.73809523809524,58.15217391304348,0,0,0,0,0,0,0,0,0,0,0,0
