game_name,iteration,Alpha-Beta,MAST,MC-GRAVE,"Progressive History",UCT,Random,Portfolio,Ensemble,"Weighted Ensemble","Weigted Ensemble (P)","Ensemble (P)"
"4 Squared",0,1,1,0,0,1,0,1,1,1,1,1
"4 Squared",1,1,0,1,1,0,0,1,1,1,1,1
"4 Squared",2,1,0,0,1,0,0,1,1,1,1,1
"4 Squared",3,1,1,1,1,0,0,1,1,1,1,1
"4 Squared",4,1,1,1,0,0,0,1,1,1,1,1
"4 Squared",5,1,0,0,0,1,0,1,1,1,1,1
"4 Squared",6,1,1,0,1,1,0,1,1,1,1,1
"4 Squared",7,1,1,1,1,0,0,1,1,1,1,1
"4 Squared",8,1,1,1,0,0,0,1,1,1,1,1
"4 Squared",9,1,1,1,1,1,0,1,1,1,1,1
"4 Squared",10,1,0,0,1,1,0,1,1,1,1,1
"4 Squared",11,1,0,1,0,0,0,1,1,1,1,1
"4 Squared",12,1,1,0,1,1,0,1,1,1,1,1
"4 Squared",13,1,0,1,1,1,0,1,1,1,1,1
"4 Squared",14,1,0,0,1,0,0,1,1,1,1,1
"4 Squared",15,1,0,0.5,1,0,0,1,1,1,1,1
"4 Squared",16,1,1,1,1,1,0,1,1,1,1,1
"4 Squared",17,1,1,1,1,1,0,1,1,1,1,1
"4 Squared",18,0,1,1,0,0,0,1,1,1,0,1
"4 Squared",19,1,0,0,1,0,0,1,0,1,1,1
"4 Squared",20,1,1,1,1,0,0,1,1,1,1,1
"4 Squared",21,1,0,0,0,0,0,0,1,1,1,1
"4 Squared",22,1,1,0,1,0,0,1,1,1,1,1
"4 Squared",23,1,0,1,1,0,0,1,1,1,1,0
"4 Squared",24,1,1,1,0,0,0,1,1,1,1,1
"4 Squared",25,1,1,1,0,1,0,1,1,1,1,1
"4 Squared",26,1,1,1,1,0,0,1,1,1,1,1
"4 Squared",27,1,0,1,1,0,0,0.5,1,1,1,1
"4 Squared",28,1,0,1,1,0,0,1,1,1,1,1
"4 Squared",29,1,1,1,1,1,0,1,1,1,1,1
"4 Squared",30,1,0,1,1,0,0,1,0,1,1,1
"4 Squared",31,1,1,0,1,1,0,1,1,1,1,1
"4 Squared",32,1,1,1,1,0,0,1,1,1,1,1
"4 Squared",33,1,1,0,0,0,0,1,1,1,1,1
"4 Squared",34,1,1,0.5,1,1,0,1,1,1,1,1
"4 Squared",35,1,0,1,1,0,0,1,1,1,1,0
"4 Squared",36,1,1,0,1,1,0,1,1,1,1,1
"4 Squared",37,1,1,0,1,0,0,1,1,1,1,1
"4 Squared",38,1,0,0,0,0,0,1,1,1,1,1
"4 Squared",39,1,0.5,0,1,1,0,1,1,1,1,1
"4 Squared",40,1,1,1,1,1,0,1,1,1,1,1
"4 Squared",41,1,1,1,1,1,0,1,1,1,1,1
"4 Squared",42,1,0,1,0,1,0,1,1,1,1,1
"4 Squared",43,1,1,0,0,0,0,1,1,1,1,1
"4 Squared",44,1,1,1,1,1,0,0,1,1,1,1
"4 Squared",45,1,1,0,0,1,0,1,1,1,1,1
"4 Squared",46,1,1,0,1,1,0,1,0,1,1,1
"4 Squared",47,1,0,1,1,0,0,1,1,1,1,1
"4 Squared",48,1,1,1,0,1,0,1,1,1,1,1
"4 Squared",49,1,0,0,0,1,0,1,1,1,1,1
Agon,0,0,1,0,0,0,0,0,1,0,1,1
Agon,1,0,1,0,1,0,0,0,1,0,0,1
Agon,2,1,0,0,0,1,0,0,0,0,1,0
Agon,3,0,1,0,0,1,0,0,0,0,1,0
Agon,4,0,1,0,0,0,0,0,1,0,0,0
Agon,5,0,1,0,1,0,0,0,0,0,1,0
Agon,6,0,0,0,1,1,0,0,0,0,1,1
Agon,7,0,1,1,1,1,0,0,0,0,0,1
Agon,8,0,1,0,0,0,0,0,0,0,0,1
Agon,9,0,1,0,0,1,0,0,0,0,0,1
Agon,10,0,1,0,1,1,0,0,0,0,1,0
Agon,11,0,1,1,0,1,0,1,1,0,0,1
Agon,12,0,1,0,0,0,0,0,0,0,1,1
Agon,13,0,1,0,0,1,0,0,0,0,1,0
Agon,14,0,1,0,1,0,0,0,0,0,1,1
Agon,15,0,1,0,1,0,0,0,1,0,0,0
Agon,16,0,0,0,0,0,0,0,0,1,0,1
Agon,17,0,0,0,0,0,0,0,1,0,0,1
Agon,18,0,0,0,0,1,0,1,0,0,0,0
Agon,19,0,1,0,0,1,0,0,0,0,0,0
Agon,20,0,1,0,1,1,0,0,0,0,0,0
Agon,21,0,1,0,0,0,0,0,0,1,0,1
Agon,22,0,1,0,1,0,0,1,0,0,1,1
Agon,23,1,0,0,0,0,0,0,0,0,1,0
Agon,24,0,1,0,1,0,0,0,0,0,0,1
Agon,25,0,0,0,0,1,0,0,0,0,1,0
Agon,26,0,1,1,1,0,0,0,0,0,1,1
Agon,27,1,0,0,1,0,0,0,0,0,0,0
Agon,28,0,0,0,1,0,0,0,0,0,1,0
Agon,29,0,1,0,1,1,0,0,0,0,0,0
Agon,30,0,1,1,1,0,0,0,1,0,0,1
Agon,31,0,1,0,1,0,0,0,0,0,1,0
Agon,32,1,1,0,1,1,0,0,0,0,0,1
Agon,33,0,1,0,0,1,0,0,0,0,1,0
Agon,34,0,1,0,1,0,0,1,1,0,0,1
Agon,35,0,1,0,1,0,0,0,0,0,1,1
Agon,36,0,0,1,1,1,0,0,0,0,0,0
Agon,37,0,0,0,1,1,0,0,0,0,0,1
Agon,38,0,1,0,1,1,0,0,0,1,0,1
Agon,39,0,1,0,1,1,0,1,0,0,1,0
Agon,40,0,0,0,1,0,0,1,1,0,1,1
Agon,41,0,1,1,1,0,0,0,0,0,1,1
Agon,42,0,0,0,0,1,0,0,1,0,0,1
Agon,43,0,1,0,0,1,0,1,0,0,0,1
Agon,44,0,0,1,0,1,0,0,0,0,1,0
Agon,45,0,1,0,0,1,0,0,0,0,0,0
Agon,46,0,1,0,0,0,0,1,0,0,0,0
Agon,47,0,0,0,0,0,0,0,0,0,0,0
Agon,48,0,1,0,1,1,0,0,1,1,1,0
Agon,49,0,1,0,0,1,0,0,1,0,0,0
Annuvin,0,1,0,1,1,0,0,1,1,1,1,1
Annuvin,1,1,0,1,1,1,0,1,1,1,1,1
Annuvin,2,1,0,1,0,0,0,1,1,1,1,1
Annuvin,3,1,0,1,0,1,0,1,1,1,1,1
Annuvin,4,1,0,0,0,0,0,1,1,1,1,1
Annuvin,5,1,0,0,0,1,0,1,1,1,1,1
Annuvin,6,1,0,1,0,1,0,1,0,1,1,1
Annuvin,7,1,0,1,1,1,0,1,1,1,1,1
Annuvin,8,1,0,1,0,1,0,1,0,1,1,1
Annuvin,9,1,1,1,0,0,0,1,1,1,1,1
Annuvin,10,1,1,0,1,0,0,1,1,1,1,1
Annuvin,11,1,1,0,1,0,0,1,1,1,1,1
Annuvin,12,1,0,1,1,1,0,1,1,1,1,1
