game_name,agent_name,iteration,score,duration,natural_end,move_limit,turn_limit,supported,selected_heuristic,selected_agent,ensemble_size
"4 Squared",Alpha-Beta,0,1,43,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,1,1,51,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,2,1,57,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,3,1,47,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,4,1,41,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,5,1,45,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,6,1,55,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,7,1,53,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,8,1,49,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,9,1,51,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,10,1,65,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,11,1,57,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,12,1,61,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,13,1,41,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,14,1,43,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,15,1,45,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,16,1,39,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,17,1,45,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,18,0,64,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,19,1,43,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,20,1,59,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,21,1,63,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,22,1,61,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,23,1,51,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,24,1,57,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,25,1,57,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,26,1,55,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,27,1,49,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,28,1,57,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,29,1,49,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,30,1,43,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,31,1,51,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,32,1,51,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,33,1,131,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,34,1,51,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,35,1,49,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,36,1,55,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,37,1,53,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,38,1,63,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,39,1,49,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,40,1,47,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,41,1,51,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,42,1,59,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,43,1,45,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,44,1,43,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,45,1,47,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,46,1,49,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,47,1,49,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,48,1,65,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Alpha-Beta,49,1,47,1,0,0,1,UnthreatenedMaterialPos,-,1
"4 Squared",Ensemble,0,1,45,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,1,1,45,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,2,1,51,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,3,1,43,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,4,1,59,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,5,1,67,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,6,1,73,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,7,1,43,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,8,1,47,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,9,1,45,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,10,1,43,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,11,1,59,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,12,1,73,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,13,1,93,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,14,1,95,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,15,1,57,1,0,0,1,UnthreatenedMaterialPos,-,5
"4 Squared",Ensemble,16,1,63,1,0,0,1,UnthreatenedMaterialPos,-,5
