game_name,Alpha-Beta,MAST,MC-GRAVE,"Progressive History",UCT,Random,Portfolio,Ensemble,"Weighted Ensemble","Weigted Ensemble (P)","Ensemble (P)"
"4 Squared",98,61,57.99999999999999,68,46,0,95,94,100,98,96
Agon,8,70,14.000000000000002,52,50,0,16,24,8,44,50
Annuvin,100,34,50,46,50,0,100,90,90,98,88
"Astralesce and Constellation",34,57.99999999999999,57.99999999999999,52,48,0,56.00000000000001,24,42,70,50
Azteka,34,28.000000000000004,13,46,54,0,68,21,26,62,50
Battleships,0,84,100,68,42,0,84,86,100,94,94
"Beirut Chess",0,54,56.99999999999999,69,54,19,100,41,49,59,62
Cascades,0,42,42,57.99999999999999,40,0,44,46,46,64,72
"Caturvimsatikosthakatmiki Krida",1,0,1,1,0,0,2,2,2,3,0
Chaupar,37.333334267139435,69.33333379030228,62.66666722297668,66.66666716337204,65.33333384990692,38.66666758060455,76.00000035762787,46.666667461395264,62.66666722297668,74.66666704416275,54.666667342185974
"Chong (Sakhalin)",86,74,62,66,64,24,78,76,64,57.99999999999999,66
Dodo,12,66,16,40,46,0,28.000000000000004,26,26,57.99999999999999,66
Fettas,86,14.000000000000002,54,42,42,0,80,52,48,62,70
Fission,83,44,50,40,40,0,86,69,71,87,78
"Game of Dwarfs",1,0,0,0,1,0,0,0,0,2,3
"Gobblet Gobblers",100,66,98,54,62,0,72,90,82,98,98
HexGo,10,26,97,53,48,1,98,7.000000000000001,46,100,49
Hoshi,0,0,0,0,0,0,0,0,0,0,0
"La Yagua",100,100,100,96,100,80,100,100,100,100,100
Labirintus,0,96,84,80,86,2,98,80,86,100,98
"Lets Catch the Lion",100,36,46,56.00000000000001,59,0,100,41,44,76,81
"Lights Out",0,0,0,0,6,0,0,0,0,4,2
Mahbouseh,0,100,0,100,100,0,100,0,100,100,100
Millieu,66,38,42,60,54,0,44,54,24,82,80
Minefield,88,62,82,76,56.00000000000001,0,90,57.99999999999999,66,82,72
Morpharaoh,0,90,98,57.99999999999999,62,0,100,16,78,98,50
"Murus Gallicus",52,94,66,64,38,0,54,70,46,84,88
N-Mesh,78,64,76,62,46,6,68,56.00000000000001,66,78,64
Paintscape,0,18,44,46,30,0,52,4,28.000000000000004,66,48
Pentago,76,65,75,70,56.99999999999999,0,60,60,57.99999999999999,91,88
Pic,13.25,48,25.75,47.75,54.25,11,55.75,39.5,47,54,51.74999999999999
Plotto,0,2,0,2,0,0,0,0,0,0,0
Polypods,60,46,84,82,44,2,52,74,57.99999999999999,72,80
Puhulmutu,0,10,0,46,42,0,56.00000000000001,10,8,52,56.00000000000001
Pyrga,82,52,61,66,57.99999999999999,0,54,67,48,73,79
Redstone,92,56.00000000000001,57.99999999999999,96,56.00000000000001,18,78,66,80,92,84
Rithmomachia,100,42,40,79,43,28.000000000000004,100,100,100,100,100
Rock-Paper-Scissors,0,0,0,0,0,42,25,0,0,0,0
Romavoa,32,62,46,52,42,26,46,54,46,50,42
"Shatranj (14x14)",91,71,64,85,70,12,95,98,100,100,100
"Sig wa Duqqan (Houmt Taourit)",94,92,90,86,98,88,90,88,84,92,94
"So Long Sucker",7.3333335518836975,17.333333730697632,34.00000065565109,42.66666740179062,37.333333909511566,7.3333335518836975,23.33333396911621,17.333333790302277,24.66666716337204,29.333333909511566,34.666667342185974
Spava,0,2,0,0,4,0,0,0,2,0,0
Tama,37,32,33,47,56.99999999999999,0,32,8,11,32,33
Tandems,51,68,62,62,48,1,51,56.00000000000001,54,77,87
"Tank Tactics",96,92,42,84,76,0,100,78,74,92,98
Tara,50,9,28.999999999999996,43,66,0,18,28.999999999999996,33,57.99999999999999,60
"Tibetan Jiuqi",100,65,70,80,44,17,100,100,100,100,100
Trianon,2,2,4,2,4,0,2,2,4,4,4
Windflowers,4,56.00000000000001,82,44,45,0,87,17,35,82,47
